Name,lon,lat
Allawah,151.1145008,-33.9697109
Arncliffe,151.1472922,-33.9362414
Artarmon,151.1851236,-33.8088311
Ashfield,151.1258609,-33.8876077
Asquith,151.1081485,-33.6886932
Auburn,151.0328916,-33.8491889
Banksia,151.1404131,-33.9453067
Bankstown,151.034149,-33.917854
Bardwell Park,151.1248947,-33.9315724
Beecroft,151.066388,-33.7496856
Belmore,151.0883315,-33.917181
Berala,151.0322785,-33.8715545
Berowra,151.1531536,-33.6235453
Beverly Hills,151.0811685,-33.9490339
Bexley North,151.1135141,-33.9375236
Birrong,151.0240292,-33.8932932
Blacktown,150.9074192,-33.768589
Bondi Junction,151.2484687,-33.8910387
Burwood,151.1043119,-33.8772471
Cabramatta,150.9391223,-33.8945914
Campbelltown,150.8141,-34.0641
Campsie,151.1033663,-33.9104388
Canley Vale,150.9436055,-33.8871636
Canterbury,151.1185588,-33.9118969
Caringbah,151.1225723,-34.0415877
Carlton,151.1240111,-33.9682313
Carramar,150.9615146,-33.884312
Casula,150.912011,-33.949907
Central,151.2069512,-33.8831733
Chatswood,151.1808565,-33.7980117
Cheltenham,151.0785565,-33.7557491
Chester Hill,150.9998507,-33.8835918
Circular Quay,151.2106937,-33.8611801
Clarendon,150.7879184,-33.6085113
Clyde,151.0168574,-33.8358494
Como,151.0680873,-34.0043673
Concord West,151.085587,-33.8484989
Cronulla,151.1515177,-34.0557489
Croydon,151.1151049,-33.8832106
Denistone,151.0867853,-33.7995547
Domestic Airport,151.1810645,-33.9336119
Doonside,150.869173,-33.7637473
Dulwich Hill,151.1411736,-33.9110992
East Hills,150.9846621,-33.9617727
East Richmond,150.7591251,-33.6017917
Eastwood,151.0821577,-33.7901004
Edgecliff,151.2367353,-33.8797328
Edmondson Park,150.85866,-33.9692834
Emu Plains,150.6718826,-33.7457342
Engadine,151.0147425,-34.0676654
Epping,151.0820495,-33.7727196
Erskineville,151.1855598,-33.9000757
Fairfield,150.9568218,-33.8723854
Flemington,151.0701872,-33.8649524
Glenfield,150.8930846,-33.9722305
Gordon,151.1543614,-33.7557663
Granville,151.0119323,-33.8327711
Green Square,151.2024545,-33.9062418
Guildford,150.9844122,-33.8542294
Gymea,151.0854209,-34.0348787
Harris Park,151.0076421,-33.8233344
Heathcote,151.0080987,-34.0879598
Helensburgh,150.9941077,-34.1770068
Holsworthy,150.9566821,-33.9631658
Homebush,151.0865184,-33.8668304
Hornsby,151.098357,-33.7034846
Hurlstone Park,151.1324592,-33.91017
Hurstville,151.1024006,-33.9672608
Ingleburn,150.8641549,-33.997714
International Airport,151.1658066,-33.9349888
Jannali,151.0645506,-34.0158974
Killara,151.1616908,-33.7654796
Kings Cross,151.222061,-33.874508
Kingsgrove,151.1005167,-33.940597
Kingswood,150.7204858,-33.7583835
Kirrawee,151.0714683,-34.0349649
Kogarah,151.1324438,-33.962728
Lakemba,151.0758525,-33.9201175
Leightonfield,150.9846811,-33.8815241
Leppington,150.8080079,-33.9544101
Leumeah,150.8306041,-34.0507788
Lewisham,151.1474277,-33.8932485
Lidcombe,151.0447322,-33.8636195
Lindfield,151.1691014,-33.7756438
Liverpool,150.9272096,-33.9243088
Loftus,151.0511945,-34.0451058
Macarthur,150.7972521,-34.07195
Macdonaldtown,151.1863392,-33.8967611
Macquarie Fields,150.8790718,-33.9847434
Marayong,150.9001946,-33.746309
Marrickville,151.1531684,-33.9137772
Martin Place,151.211807,-33.867924
Mascot,151.1874205,-33.9233037
Meadowbank,151.0901473,-33.8159902
Merrylands,150.9925513,-33.8365039
Milsons Point,151.2118241,-33.8458572
Minto,150.8424676,-34.0272946
Miranda,151.1025719,-34.0363093
Mortdale,151.0812595,-33.9706333
Mount Colah,151.1149343,-33.6714627
Mount Druitt,150.8200646,-33.7695837
Mount Kuring-gai,151.1368566,-33.6531647
Mulgrave,150.8304862,-33.626628
Museum,151.2093033,-33.8765641
Narwee,151.0701728,-33.9475524
Newtown,151.1796353,-33.8979962
Normanhurst,151.097172,-33.7208698
North Strathfield,151.0881083,-33.8589529
North Sydney,151.207413,-33.841148
Oatley,151.0790521,-33.9807522
Olympic Park,151.0695205,-33.8465207
Padstow,151.0323912,-33.9518961
Panania,150.997845,-33.9543247
Parramatta,151.0048271,-33.817225
Pendle Hill,150.9564076,-33.8013251
Pennant Hills,151.0724737,-33.7381109
Penrith,150.6958229,-33.7500866
Penshurst,151.0891512,-33.9661564
Petersham,151.1551268,-33.8939191
Punchbowl,151.0555281,-33.9253493
Pymble,151.1419637,-33.7446757
Quakers Hill,150.886186,-33.7274173
Redfern,151.198771,-33.8916327
Regents Park,151.0241466,-33.882979
Revesby,151.0148924,-33.9524486
Rhodes,151.0870825,-33.8305508
Richmond,150.7525297,-33.5988159
Riverstone,150.8604169,-33.6790725
Riverwood,151.0524899,-33.9514785
Rockdale,151.1367137,-33.9522623
Rooty Hill,150.8451541,-33.771561
Roseville,151.1772549,-33.7841736
Schofields,150.8738676,-33.7046401
Sefton,151.0114608,-33.8852346
Seven Hills,150.9361701,-33.7742788
St James,151.2104294,-33.8706943
St Leonards,151.1941899,-33.8223718
St Marys,150.775146,-33.762096
St Peters,151.1803033,-33.9074985
Stanmore,151.1639107,-33.8946689
Strathfield,151.094264,-33.8722229
Summer Hill,151.1387263,-33.8904436
Sutherland,151.0573477,-34.0315181
Sydenham,151.1660247,-33.9147525
Tempe,151.1564,-33.9245
Thornleigh,151.0783812,-33.7318189
Toongabbie,150.9515113,-33.7871648
Town Hall,151.2071186,-33.8731993
Turramurra,151.1283718,-33.732324
Turrella,151.139968,-33.9299019
Villawood,150.976053,-33.880887
Vineyard,150.8511339,-33.6504049
Wahroonga,151.1169566,-33.7174898
Waitara,151.1044132,-33.7100629
Warrawee,151.121658,-33.724178
Warwick Farm,150.9352109,-33.9130751
Waterfall,150.9944924,-34.134502
Waverton,151.1976067,-33.8378454
Wentworthville,150.9727022,-33.8070931
Werrington,150.7576771,-33.7592392
West Ryde,151.0901785,-33.8073346
Westmead,150.9879225,-33.808415
Wiley Park,151.06808,-33.9226901
Windsor,150.8112687,-33.6137621
Wolli Creek,151.1540547,-33.9285589
Wollstonecraft,151.1918461,-33.8319307
Woolooware,151.1440549,-34.0476611
Wynyard,151.2055521,-33.8660077
Yagoona,151.0244561,-33.9069623
Yennora,150.9707794,-33.8647428
